Palavra,Frequência,Separação
que,157932,que
eu,128487,'eu
o,120770,o
de,115201,de
a,113162,a
e,111122,e
não,101817,'não
me,70429,me
você,65705,vo-'cê
meu,54970,'meu
se,50631,se
um,50128,'um
te,45197,te
amor,44776,a-'mor
do,39938,do
no,38243,no
com,31183,com
em,31052,em
mais,30872,'mais
só,26536,'só
uma,23108,'u-ma
mas,22701,'mas
coração,22526,co-ra-'ção
sem,19752,sem
já,19566,'já
quando,18026,'quan-do
mim,17788,'mim
vida,17562,'vi-da
tudo,15631,'tu-do
quem,15457,'quem
tá,13370,'tá
gente,13054,'gen-te
tô,12444,'tô
bem,12245,'bem
ser,12087,'ser
dia,11860,'di-a
para,11296,'pa-ra
assim,11295,as-'sim
ai,11222,'ai
saudade,11204,sa-u-'da-de
como,10854,'co-mo
nem,10402,'nem
agora,10361,a-'go-ra
aqui,9711,a-'qui
ver,9673,'ver
hoje,9504,'ho-je
deus,9282,'deus
ele,9274,'e-le
amar,9189,a-'mar
tão,9158,'tão
lá,9154,'lá
sempre,8991,'sem-pre
mundo,8569,'mun-do
essa,8512,'es-sa
esse,8458,'es-se
paixão,8454,pai-'xão
tempo,8268,'tem-po
noite,8251,'noi-te
ao,8128,'ao
quer,8099,'quer
até,7669,a-'té
teu,7419,'teu
mulher,7287,mu-'lher
nosso,7262,'nos-so
porque,7231,'por-que
nada,7179,'na-da
muito,7153,'mui-to
era,6928,'e-ra
todo,6925,'to-do
fazer,6874,fa-'zer
nunca,6841,'nun-ca
ter,6819,'ter
vez,6699,'vez
nos,6693,nos
viver,6351,vi-'ver
ficar,6267,fi-'car
onde,6218,'on-de
jeito,6172,'jei-to
ainda,5976,a-'in-da
nós,5922,'nós
ninguém,5886,nin-'guém
tanto,5825,'tan-to
mesmo,5800,'mes-mo
também,5687,tam-'bém
alguém,5656,al-'guém
comigo,5564,co-'mi-go
isso,5534,'is-so
dizer,5329,di-'zer
casa,5310,'ca-sa
dor,5278,'dor
outro,5260,'ou-tro
amo,5260,'a-mo
ou,5230,ou
embora,5222,em-'bo-ra
hora,5194,'ho-ra
sabe,5139,'sa-be
solidão,5015,so-li-'dão
esquecer,5002,es-que-'cer
feliz,5001,fe-'liz
peito,4981,'pei-to
olhar,4957,o-'lhar
depois,4907,de-'pois
dar,4856,'dar
beijo,4843,'bei-jo
dois,4760,'dois
chorar,4715,cho-'rar
fim,4679,'fim
toda,4672,'to-da
demais,4607,de-'mais
grande,4509,'gran-de
fez,4474,'fez
deixa,4457,'dei-xa
voltar,4406,vol-'tar
bom,4398,'bom
lado,4282,'la-do
corpo,4281,'cor-po
lhe,4189,lhe
preciso,4138,pre-'ci-so
são,4063,'são
lugar,3989,lu-'gar
aí,3943,a-'í
num,3861,'num
homem,3860,'ho-mem
céu,3782,'céu
ama,3738,'a-ma
oh,3731,'oh
novo,3677,'no-vo
cara,3642,'ca-ra
boca,3609,'bo-ca
então,3555,en-'tão
desse,3541,'des-se
saber,3490,sa-'ber
volta,3464,'vol-ta
mão,3418,'mão
triste,3416,'tris-te
sol,3384,'sol
dentro,3380,'den-tro
sofrer,3371,so-'frer
falar,3348,fa-'lar
cada,3295,'ca-da
sozinho,3288,so-'zi-nho
chora,3212,'cho-ra
chão,3182,'chão
fora,3165,'fo-ra
verdade,3143,ver-'da-de
querer,3118,que-'rer
encontrar,3081,en-con-'trar
viola,3040,vi-'o-la
refrão,3038,re-'frão
medo,2989,'me-do
melhor,2973,me-'lhor
longe,2949,'lon-ge
terra,2935,'ter-ra
sonho,2918,'so-nho
carinho,2877,ca-'ri-nho
coisa,2846,'coi-sa
há,2828,'há
desejo,2823,de-'se-jo
to,2820,'to
for,2804,'for
deixar,2802,dei-'xar
louco,2767,'lou-co
amigo,2760,a-'mi-go
mal,2727,'mal
pouco,2674,'pou-co
gosto,2666,'gos-to
chega,2658,'che-ga
cama,2646,'ca-ma
flor,2641,'flor
nome,2638,'no-me
tinha,2597,'ti-nha
cê,2591,'cê
ah,2582,'ah
luz,2569,'luz
vê,2547,'vê
sentir,2533,sen-'tir
adeus,2521,a-'deus
tu,2516,'tu
pelo,2515,'pe-lo
feito,2503,'fei-to
vontade,2467,von-'ta-de
caminho,2458,ca-'mi-nho
vivo,2441,'vi-vo
pela,2412,'pe-la
pai,2383,'pai
pé,2382,'pé
olha,2358,'o-lha
nesse,2355,'nes-se
cidade,2349,ci-'da-de
felicidade,2343,fe-li-ci-'da-de
passa,2338,'pas-sa
beber,2327,be-'ber
linda,2320,'lin-da
maria,2303,ma-'ri-a
este,2300,'es-te
fico,2293,'fi-co
destino,2285,des-'ti-no
qualquer,2284,qual-'quer
senhor,2274,se-'nhor
paz,2263,'paz
tristeza,2246,tris-'te-za
tua,2244,'tu-a
apaixonado,2243,a-pai-xo-'na-do
sorriso,2243,sor-'ri-so
lua,2237,'lu-a
aquele,2229,a-'que-le
falta,2220,'fal-ta
entre,2209,'en-tre
quanto,2207,'quan-to
fala,2207,'fa-la
ti,2187,'ti
fogo,2167,'fo-go
prazer,2165,pra-'zer
quase,2161,'qua-se
madrugada,2128,ma-dru-'ga-da
menina,2121,me-'ni-na
perder,2113,per-'der
carro,2099,'car-ro
logo,2078,'lo-go
chegar,2067,che-'gar
igual,2053,i-'gual
ir,2047,'ir
alegria,2044,a-le-'gri-a
ouvir,2033,ou-'vir
festa,2032,'fes-ta
meio,2029,'mei-o
mar,2022,'mar
frente,2016,'fren-te
porta,2014,'por-ta
jesus,2010,je-'sus
sertão,2006,ser-'tão
consigo,2005,con-'si-go
voz,1988,'voz
história,1985,his-'tó-ri-a
poder,1945,po-'der
cabeça,1943,ca-'be-ça
sair,1940,sa-'ir
favor,1936,fa-'vor
cantar,1932,can-'tar
serra,1925,'ser-ra
forte,1906,'for-te
santa,1900,'san-ta
boa,1897,'bo-a
choro,1884,'cho-ro
bate,1880,'ba-te
alma,1871,'al-ma
passar,1853,pas-'sar
parar,1848,pa-'rar
água,1822,'á-gua
mãe,1814,'mãe
dei,1807,'dei
filho,1799,'fi-lho
certo,1798,'cer-to
velho,1775,'ve-lho
morrer,1773,mor-'rer
povo,1772,'po-vo
chuva,1767,'chu-va
enquanto,1747,en-'quan-to
pensar,1731,pen-'sar
momento,1727,mo-'men-to
dinheiro,1723,di-'nhei-ro
boi,1708,'boi
passado,1706,pas-'sa-do
louca,1697,'lou-ca
lembrar,1687,lem-'brar
aquela,1682,a-'que-la
tava,1681,'ta-va
vão,1677,'vão
calor,1673,ca-'lor
beijar,1667,bei-'jar
lindo,1659,'lin-do
canto,1647,'can-to
rio,1645,'ri-o
tarde,1642,'tar-de
junto,1636,'jun-to
conta,1609,'con-ta
canção,1609,can-'ção
esperança,1573,es-pe-'ran-ça
vento,1554,'ven-to
rua,1553,'ru-a
morena,1543,mo-'re-na
estar,1526,es-'tar
rosto,1524,'ros-to
peão,1523,pe-'ão
entender,1516,en-ten-'der
sentimento,1515,sen-ti-'men-to
inteiro,1514,in-'tei-ro
razão,1512,ra-'zão
levar,1496,le-'var
leva,1493,'le-va
ilusão,1484,i-lu-'são
dormir,1467,dor-'mir
veio,1463,'vei-o
abraço,1454,a-'bra-ço
som,1435,'som
chama,1426,'cha-ma
atrás,1424,a-'trás
pega,1417,'pe-ga
querida,1407,que-'ri-da
sobre,1394,'so-bre
cheiro,1381,'chei-ro
mariano,1359,ma-ri-'a-no
sim,1356,'sim
jamais,1355,ja-'mais
quarto,1352,'quar-to
amanhã,1341,a-ma-'nhã
neste,1338,'nes-te
doce,1337,'do-ce
passo,1337,'pas-so
pensamento,1306,pen-sa-'men-to
antes,1304,'an-tes
pedir,1294,pe-'dir
sorte,1290,'sor-te
ali,1283,a-'li
cerveja,1280,cer-'ve-ja
cima,1276,'ci-ma
beija,1271,'bei-ja
talvez,1267,tal-'vez
procurar,1245,pro-cu-'rar
matar,1240,ma-'tar
dói,1236,'dói
distante,1230,dis-'tan-te
mata,1230,'ma-ta
gostoso,1227,gos-'to-so
maior,1222,mai-'or
balada,1219,ba-'la-da
esperar,1211,es-pe-'rar
bar,1203,'bar
pegar,1188,pe-'gar
valor,1167,va-'lor
sonhar,1163,so-'nhar
menino,1158,me-'ni-no
pranto,1157,'pran-to
ar,1151,'ar
jogo,1145,'jo-go
dançar,1145,dan-'çar
horas,1144,'ho-ras
mesma,1144,'mes-ma
difícil,1142,di-'fí-cil
emoção,1136,e-mo-'ção
buscar,1130,bus-'car
brasil,1129,bra-'sil
mil,1122,'mil
roupa,1121,'rou-pa
boiada,1119,boi-'a-da
perdido,1117,per-'di-do
mesa,1116,'me-sa
fé,1112,'fé
cair,1112,ca-'ir
menos,1109,'me-nos
loucura,1109,lou-'cu-ra
repente,1109,re-'pen-te
tocar,1109,to-'car
